"","x"
"226",534.674097587444
"227",546.786773917333
"228",540.942937316136
"229",548.434430845514
"230",534.65205742941
"231",542.74925845378
"232",543.603358853114
"233",535.866765845618
"234",544.218908368365
"235",543.632492003504
"236",541.976530178299
"237",534.455541782702
"238",541.6208784615
"239",536.456274037554
"240",536.020982206062
"241",539.849437171932
"242",541.382496310313
"243",539.729467643262
"244",538.872823308803
"245",540.099441732849
"246",535.838906572265
"247",543.057610358711
"248",543.327025315539
"249",538.742103244271
"250",538.703848253281
"251",536.487170887461
"252",540.231976071932
"253",535.794643611288
"254",540.926532121549
"255",540.405397391166
"256",538.953566658527
"257",548.581335573228
"258",541.802093519772
"259",535.867027242254
"260",534.966716340063
"261",540.81431916175
"262",539.225289507931
"263",535.719711120895
"264",540.390620833085
"265",543.767555093698
"266",522.273502975273
"267",534.167960101327
"268",537.45220386442
"269",527.012129846691
"270",547.02752818117
"271",522.552452728526
"272",544.684348536191
"273",549.270149214158
"274",543.526031052764
"275",534.998767914862
"276",540.617983973303
"277",539.622285775709
"278",535.847372371098
"279",540.28356659422
"280",536.148219145353
"281",535.867352873797
"282",536.115627899742
"283",532.009421156633
"284",534.78270337206
"285",531.641037940018
"286",543.359982262354
"287",545.749144951384
"288",544.158554644522
"289",543.155503226433
"290",534.85937848579
"291",546.010218347361
"292",534.053115060075
"293",543.165937446336
"294",540.23650684965
"295",548.121747069567
"296",541.146236017075
"297",549.218086122124
"298",539.581541866025
"299",536.355558214136
"300",539.834123565921
"301",535.53422677477
"302",545.662809417143
"303",536.02933311818
"304",536.578383824742
"305",547.104222663736
"306",545.216420218512
"307",536.468149407597
"308",539.378140271247
"309",534.871288076167
"310",543.368621351448
"311",537.278035638035
"312",528.785798819944
"313",526.73342196688
"314",541.707487814861
"315",546.300970566047
"316",535.765528764212
"317",536.32138542397
"318",538.111048905258
"319",536.214083934627
"320",541.837041174896
"321",529.898467249011
"322",535.632003799383
"323",537.119678759181
"324",550.036573141797
"325",533.298105128159
"326",534.854584307491
"327",538.335803438671
"328",546.184035688478
"329",538.649046413286
"330",535.996144877671
"331",533.194743395494
"332",543.517939322226
"333",545.084689106733
"334",537.960401292237
"335",533.739701308909
"336",538.122287895793
"337",539.888113629259
"338",551.043578058438
"339",537.031673133659
"340",548.803181370033
"341",536.167094135811
"342",538.03822799953
"343",535.630530097832
"344",547.067729922006
"345",539.304682274232
"346",545.986259728921
"347",542.38593554875
"348",532.226110271673
"349",535.59521441161
"350",542.80478065913
"351",541.623967795349
"352",532.171690364891
"353",535.03450829809
"354",536.861701755812
"355",538.057856990702
"356",537.112783679319
"357",542.448186621416
"358",537.571550614264
"359",536.755722603101
"360",546.571165891638
"361",535.728857245757
"362",540.503556838009
"363",545.050249939959
"364",542.359736616068
"365",540.089247827835
"366",540.089582556762
"367",538.371352755207
"368",537.328976662257
"369",547.01557971858
"370",539.356802483292
"371",541.623691794345
"372",535.889814805515
"373",537.046179254573
"374",539.601009607244
"375",550.653664715235
"376",542.791049969718
"377",543.225325076774
"378",539.232690145175
"379",541.247144591187
"380",539.465929309582
"381",544.653379387249
"382",538.385280765891
"383",550.923691867346
"384",537.340353390639
"385",536.529249677021
"386",535.870683485561
"387",541.224653226168
"388",539.118462622092
"389",531.183030267018
"390",535.305556339026
"391",529.88886149051
"392",541.400257610729
"393",538.149247708576
"394",540.852403220893
"395",532.675939118327
"396",555.111809437292
"397",538.043191051508
"398",539.93955341886
"399",538.501812382427
"400",539.789220789675
"401",541.988397693924
"402",535.878500993515
"403",528.708431322221
"404",535.275466412118
"405",539.690776056996
"406",525.464369370839
"407",539.281690906146
"408",536.884508722212
"409",537.239740077772
"410",538.992759291822
"411",544.220432240769
"412",532.365805787837
"413",534.809310487076
"414",534.157198793468
"415",537.52017083178
"416",539.077405935886
"417",537.281890371973
"418",539.783798783072
"419",550.06857247673
"420",534.385248375018
"421",539.47238755245
"422",544.882309561292
"423",532.962058037177
"424",542.419675262419
"425",543.861179392553
"426",547.931690848656
"427",532.137962318485
"428",544.428174413113
"429",534.020610455419
"430",536.018884041826
"431",537.503616777468
"432",537.795520106356
"433",539.675100741106
"434",535.22327229592
"435",539.800956605555
"436",540.761194153758
"437",537.992945419813
"438",542.059743703023
"439",536.571561540785
"440",546.239966428844
"441",535.084273691433
"442",540.864965018259
"443",543.154987141161
"444",539.825255623795
"445",529.312378979263
"446",545.032182881567
"447",538.25466677405
"448",539.617989168727
"449",544.343740487722
"450",535.897967491392
"451",542.171943617878
"452",539.060836818672
"453",545.206199134132
"454",535.893097399315
"455",545.067878600414
"456",535.812634208475
"457",532.997773366705
"458",533.537529681115
"459",533.627292852036
"460",543.891799826388
"461",534.165640156311
"462",539.182678977815
"463",544.412616876571
"464",533.981790692855
"465",540.322219020188
"466",540.173836309911
"467",528.077169576492
"468",545.770486979108
"469",534.152570804014
"470",539.64092127819
"471",534.11989280646
"472",539.114231069684
"473",532.36263042773
"474",537.484412030089
"475",538.981249256522
"476",543.941158226584
"477",545.13438227573
"478",540.563337030784
"479",546.450825551769
"480",542.420174375102
"481",544.028807285535
"482",537.775730552484
"483",548.645572342194
"484",535.314288001916
"485",542.606937682134
"486",538.406469619392
"487",536.527431248046
"488",541.145741681683
"489",535.777346213715
"490",536.887178971999
"491",540.147385986556
"492",532.958645674352
"493",541.243647427006
"494",544.89997315695
"495",538.935983802636
"496",536.475087327686
"497",541.808385730037
"498",534.670103714564
"499",542.988270825503
"500",542.484581192968
"501",546.035234525935
"502",541.001460493915
"503",550.32418714794
"504",548.862060785948
"505",538.619312673163
"506",540.31095173273
"507",539.012811973349
"508",534.936132342516
"509",535.941118614777
"510",544.614222456344
"511",539.023104651342
"512",536.054785867928
"513",542.742827183572
"514",532.824502133649
"515",537.093083073881
"516",536.51186690239
"517",542.424511643372
"518",537.937335117243
"519",542.127270876613
"520",542.853076088367
"521",529.620277430062
"522",535.53098125306
"523",540.87462832814
"524",536.071174256047
"525",534.048028572155
"526",545.137210932447
"527",540.875771010042
"528",541.086087371387
"529",536.324775549228
"530",539.355895235344
"531",539.157515188174
"532",535.829658154286
"533",547.253767561529
"534",539.540111793404
"535",538.995338106178
"536",539.546604761496
"537",540.490218918216
"538",534.603154119595
"539",540.66761555722
"540",536.341761882056
"541",534.830368873683
"542",537.220915642391
"543",545.460072573855
"544",544.346467778901
"545",533.455147555562
"546",533.523385353746
"547",535.106946415182
"548",537.06378698486
"549",538.45737743954
"550",536.68876026326
"551",543.686750247615
"552",543.723808864384
"553",541.509538965707
"554",540.56529455889
"555",540.439263963187
"556",542.506017265976
"557",538.230227250284
"558",544.847327289219
"559",533.001642847914
"560",546.296077831286
"561",542.336075000792
"562",526.777873589063
"563",527.955619570178
"564",538.309685422479
"565",518.251988525103
"566",539.536183116233
"567",534.944918260303
"568",537.253540563422
"569",541.607792139427
"570",540.563985143595
"571",536.630349831788
"572",540.255566099757
