id_individual,Sex_1_0,Haplotype,Number_sightings,Av_water_depth,Av_group_size,Sponger,Demons_sponging_forage,Sp_Order_acquisition,Mum_known,Not_weaned
SHO,-0.5,E,11,14.64545455,2.363636364,yes,yes,32,no,0
SHP,0,NA,2,8.25,4.5,no,NA,NA,yes,0
SHR,0.5,E,44,3.997674419,7.181818182,no,NA,NA,yes,0
SHU,0,NA,8,2.7625,4.25,no,NA,NA,yes,0
SHW,-0.5,NA,9,12.24444444,9.333333333,no,NA,NA,no,0
SIC,0,NA,1,7.9,3,no,NA,NA,yes,0
SIE,0,NA,1,9.5,3,no,NA,NA,no,0
SIL,-0.5,E,31,10.89032258,4.129032258,yes,yes,34,no,0
SIM,0.5,E,76,3.669333333,6.210526316,no,NA,NA,no,0
SIN,0,NA,2,7.35,15.5,no,NA,NA,no,0
SIO,-0.5,A,1,2.2,7,no,NA,NA,no,0
SIP,-0.5,NA,1,8.4,6,no,NA,NA,no,0
SIV,0,NA,1,2.7,3,no,NA,NA,no,0
SJA,0.5,A,2,1.5,4,no,NA,NA,no,0
SKE,-0.5,H,24,3.495833333,5.041666667,no,NA,NA,no,0
SKP,0,NA,2,12.1,4,no,NA,NA,no,0
SKT,0,NA,24,12.25416667,6.166666667,no,NA,NA,yes,0
SKU,-0.5,NA,8,8.5875,3.75,no,NA,NA,no,0
SLK,-0.5,H,2,6.95,16,no,NA,NA,no,0
SLM,-0.5,H,51,1.954901961,2.843137255,no,NA,NA,no,0
SLO,0,NA,10,4.57,3.9,no,NA,NA,yes,0
SLR,0,NA,3,5.366666667,6.666666667,no,NA,NA,yes,0
SLS,0,NA,3,8.2,2.333333333,no,NA,NA,yes,0
SLU,0,NA,1,14.4,1,no,NA,NA,no,0
SLV,0,NA,2,9.15,6,no,NA,NA,no,0
SLY,0,NA,1,13.7,7,no,NA,NA,no,0
SME,0,NA,2,9.1,4,no,NA,NA,yes,0
SMI,0,NA,3,12,1.333333333,yes,yes,41,no,0
SML,0.5,E,4,7.9,1.5,no,NA,NA,yes,0
SMO,-0.5,K,41,3.641025641,6.731707317,no,NA,NA,no,0
SMU,0.5,E,28,10.62857143,5.357142857,no,NA,NA,no,0
SNA,0,NA,2,8.3,7,no,NA,NA,no,0
SND,0,NA,1,14.6,5,no,NA,NA,yes,0
SNE,0,NA,2,8.25,4.5,no,NA,NA,no,0
SNG,0,NA,1,3,2,no,NA,NA,yes,0
SNO,0,NA,2,4.15,6,no,NA,NA,no,0
SNR,-0.5,H,71,5.549295775,3.422535211,no,NA,NA,no,0
SNU,0,NA,3,6.866666667,4.333333333,no,NA,NA,no,0
SOF,0,NA,1,3.8,4,no,NA,NA,no,0
SOM,0,NA,17,2.723529412,4.117647059,no,NA,NA,no,0
SOP,0,NA,1,15.5,2,no,NA,NA,no,0
SOT,0,NA,9,11.24444444,4.666666667,no,NA,NA,yes,0
SOU,-0.5,H,20,6.04,6.15,no,NA,NA,no,0
SOW,0,NA,0,NA,NA,no,NA,NA,yes,0
SPA,-0.5,H,2,4.75,4,no,NA,NA,no,0
SPC,-0.5,NA,1,8,1,no,NA,NA,no,0
SPD,0.5,F,3,7.3,6.333333333,no,NA,NA,no,0
SPG,0,NA,1,14.5,8,no,NA,NA,no,0
SPI,-0.5,E,16,13.0125,3.125,yes,yes,10,no,0
SPL,0.5,E,51,4.607843137,7.352941176,no,NA,NA,no,0
SPN,0,NA,3,1.6,7.333333333,no,NA,NA,yes,0
SPO,0.5,E,57,11.07192982,4.98245614,no,NA,NA,no,0
SPP,0,NA,1,9.7,7,no,NA,NA,no,0
SPR,0.5,H,24,12.60416667,4.666666667,no,NA,NA,no,0
SPT,0,NA,1,4.6,2,no,NA,NA,yes,0
SPU,0,NA,18,11.42222222,6.777777778,no,NA,NA,no,0
SPW,0,NA,2,12.9,3.5,no,NA,NA,yes,0
SPY,0.5,K,20,2.98,7.1,no,NA,NA,yes,0
SPZ,0,NA,7,4.442857143,2.428571429,no,NA,NA,yes,0
SRI,0,NA,1,13.5,3,no,NA,NA,yes,0
SRT,0,NA,6,13.33333333,5,no,NA,NA,yes,0
SSA,0,NA,8,13.2125,5,no,NA,NA,yes,0
STA,0,NA,44,13.59318182,7.727272727,no,NA,NA,no,0
STB,0,NA,1,6,2,no,NA,NA,yes,0
STE,0,NA,4,11.825,5.25,no,NA,NA,no,0
STG,0,NA,13,2.969230769,3.769230769,no,NA,NA,yes,0
STH,0,NA,1,8.2,2,no,NA,NA,yes,0
STI,-0.5,H,24,4.391666667,2.666666667,no,NA,NA,no,0
STN,0,NA,23,12.44347826,6,no,NA,NA,no,0
STO,0.5,H,7,8.914285714,12,no,NA,NA,no,0
STP,0,NA,1,3.3,16,no,NA,NA,no,0
STR,0.5,E,22,12.68181818,5.954545455,no,NA,NA,no,0
STU,-0.5,NA,13,13.21538462,4,no,NA,NA,no,0
SUE,0,NA,2,4.2,5,no,NA,NA,no,0
SUM,0,NA,1,14.5,8,no,NA,NA,no,0
SUN,-0.5,E,71,11.11857143,2.408450704,yes,yes,6,no,0
SUS,0.5,E,73,11.40684932,5.945205479,no,NA,NA,no,0
SWA,0,NA,2,3,11,no,NA,NA,yes,0
SYR,0,NA,23,13.63913043,2.652173913,yes,no,72,yes,0
TAL,0,NA,2,9.55,5.5,no,NA,NA,no,0
TAM,0.5,H,77,3.568421053,6.220779221,no,NA,NA,no,0
TAN,0,NA,4,4.575,2.75,no,NA,NA,yes,0
TAP,-0.5,E,29,14.05517241,2.896551724,yes,yes,27,yes,0
TAR,0,NA,8,11.35,4.875,no,NA,NA,yes,0
TAS,0,NA,20,10.255,3.75,no,NA,NA,no,0
TBI,0,NA,4,6.9,12,no,NA,NA,no,0
TCY,0,NA,1,9.2,7,no,NA,NA,no,0
TEC,0,NA,15,12.34666667,6.4,no,NA,NA,no,0
TEO,0,NA,1,8.3,8,no,NA,NA,no,0
TEQ,-0.5,E,20,12.055,2.05,yes,yes,2,no,0
TER,0,NA,3,7.033333333,8,no,NA,NA,no,0
THE,-0.5,E,1,2.3,3,no,NA,NA,no,0
THI,0,NA,3,4.766666667,4.333333333,no,NA,NA,no,0
THM,-0.5,NA,5,9.28,3,no,NA,NA,no,0
THO,0,NA,5,1.08,4.8,no,NA,NA,no,0
TIA,0.5,H,22,7.309090909,9.863636364,no,NA,NA,no,0
TIC,0,NA,19,11.68947368,6.789473684,no,NA,NA,no,0
TIG,0,NA,11,5.872727273,2.272727273,no,NA,NA,yes,0
TIK,0,NA,1,16,1,no,NA,NA,no,0
TIL,0,NA,2,2.55,5,no,NA,NA,no,0
TIM,0.5,H,85,3.5,6.505882353,no,NA,NA,no,0
TIN,0.5,H,73,8.016666667,5.534246575,no,NA,NA,no,0
TIO,0.5,H,36,3.517142857,5.25,no,NA,NA,no,0
TIS,0,NA,3,4.766666667,7.333333333,no,NA,NA,no,0
TIT,0,NA,1,13.8,2,no,NA,NA,yes,0
TIZ,0,NA,7,12.54285714,3.285714286,no,NA,NA,yes,0
TLI,0,NA,2,10.15,9,no,NA,NA,no,0
TNK,0,NA,3,13.5,7.666666667,no,NA,NA,yes,0
TOB,0.5,E,9,4.677777778,5.666666667,no,NA,NA,no,0
TOD,0.5,F,14,13.05384615,8,no,NA,NA,no,0
TOK,0,NA,5,6.14,2.8,no,NA,NA,yes,0
TOM,0,NA,30,4.178571429,8.266666667,no,NA,NA,no,0
TON,0,NA,5,12.7,1.8,no,NA,NA,yes,0
TOP,-0.5,F,6,7.133333333,2.333333333,no,NA,NA,no,0
TOR,-0.5,H,34,3.067647059,5.882352941,no,NA,NA,no,0
TOT,0,NA,4,3.65,4.75,no,NA,NA,no,0
TOY,0.5,F,8,8.2625,6.25,no,NA,NA,no,0
TRA,-0.5,NA,1,8.7,2,no,NA,NA,no,0
TRC,0,NA,2,5.6,7.5,no,NA,NA,no,0
TRE,0,NA,43,12.29767442,8.930232558,no,NA,NA,no,0
TRG,0,NA,2,5.9,15.5,no,NA,NA,no,0
TRI,0,NA,48,12.76458333,5.104166667,yes,yes,3,no,0
TRN,-0.5,NA,56,3.353571429,7.375,no,NA,NA,yes,0
TRO,0.5,E,15,12.02666667,8.866666667,no,NA,NA,no,0
TRU,-0.5,E,1,7.7,6,no,NA,NA,no,0
TRY,0,NA,2,5.2,6,no,NA,NA,no,0
TTS,0,NA,4,9.575,4.5,no,NA,NA,no,0
TUK,-0.5,NA,37,12.41891892,3.783783784,yes,yes,25,no,0
TUN,0.5,H,25,12.324,3.64,yes,yes,55,no,0
TUP,0,NA,3,4.733333333,7,no,NA,NA,no,0
TUR,0,NA,22,12.16363636,5.909090909,no,NA,NA,no,0
TWI,-0.5,NA,8,2.7625,4.25,no,NA,NA,no,0
TYL,0,NA,2,11.5,2,no,NA,NA,yes,0
TYS,0,NA,6,11.81666667,2.666666667,no,NA,NA,no,0
ULL,0,NA,2,5.05,4,no,NA,NA,no,0
ULY,0,NA,1,14.5,12,no,NA,NA,yes,0
UMI,0,NA,14,5.407142857,2.428571429,no,NA,NA,yes,0
UST,0,NA,1,7.3,17,no,NA,NA,no,0
UTA,0,NA,5,5.2,4.6,no,NA,NA,yes,0
UTP,-0.5,E,19,5.273684211,4.052631579,no,NA,NA,no,0
UWE,0,NA,5,6.46,5.2,no,NA,NA,no,0
VAL,0,NA,8,6.9875,2.375,no,NA,NA,no,0
VAN,0,NA,2,8.7,3,no,NA,NA,yes,0
VAS,-0.5,NA,9,6.644444444,3.888888889,no,NA,NA,no,0
VEA,-0.5,NA,10,12.98,8.9,no,NA,NA,no,0
VEN,-0.5,NA,5,10.78,1.8,yes,no,75,no,0
VET,0,NA,3,5.433333333,7,no,NA,NA,yes,0
VIC,0,NA,1,7.9,7,no,NA,NA,no,0
VIN,-0.5,NA,3,12.46666667,1.333333333,yes,yes,5,no,0
VIO,0,NA,5,13.28,6,no,NA,NA,yes,0
VIR,-0.5,E,6,4.266666667,6.5,no,NA,NA,yes,0
VIT,0.5,E,40,4.0075,7.1,no,NA,NA,no,0
VJA,0,NA,3,4.9,3.333333333,no,NA,NA,no,0
VLA,-0.5,F,30,12.77,4.333333333,no,NA,NA,no,0
VNS,-0.5,NA,4,4.375,5,no,NA,NA,no,0
VOL,0.5,E,24,12.00833333,7.25,no,NA,NA,no,0
WAA,0.5,E,6,10.11666667,7.333333333,no,NA,NA,no,0
WAH,0,NA,1,9.8,8,no,NA,NA,no,0
WAK,0,NA,3,4.55,6,no,NA,NA,yes,0
WAL,-0.5,H,103,4.210679612,5.019417476,no,NA,NA,yes,0
WAR,0,NA,3,9.233333333,9,no,NA,NA,no,0
WCO,-0.5,NA,4,5.375,15,no,NA,NA,no,0
WER,0,NA,1,13.9,10,no,NA,NA,no,0
WHI,-0.5,NA,11,12.56363636,3.090909091,yes,yes,53,no,0
WHS,0,NA,5,5.8,2,no,NA,NA,yes,0
WIL,0,NA,7,5.2,3.285714286,no,NA,NA,yes,0
WIM,0.5,E,63,3.770967742,6.111111111,no,NA,NA,no,0
WIN,-0.5,H,92,3.644565217,5.434782609,no,NA,NA,no,0
WIT,-0.5,NA,7,13.27142857,2.571428571,yes,yes,60,no,0
WIZ,0.5,D,2,11.65,4.5,no,NA,NA,no,0
WLW,0,NA,1,14,9,no,NA,NA,yes,0
WMX,-0.5,E,1,3.9,1,no,NA,NA,no,0
WOB,0.5,E,42,13.6452381,4.738095238,no,NA,NA,no,0
WOE,0,NA,1,6.2,2,no,NA,NA,yes,0
WOO,0.5,D,6,4.1,7.833333333,no,NA,NA,no,0
WTR,0,NA,1,14.5,8,no,NA,NA,no,0
XAV,0,NA,4,8.075,9.5,no,NA,NA,no,0
YAB,0,NA,64,10.975,6.15625,no,NA,NA,no,0
YAL,0,NA,20,12.265,6.55,no,NA,NA,no,0
YAR,0,NA,4,7.575,8,no,NA,NA,yes,0
YOU,0,NA,2,12.2,6,no,NA,NA,yes,0
ZAC,0,NA,1,13.7,7,no,NA,NA,no,0
ZAD,0,NA,1,10.5,2,no,NA,NA,no,0
ZAP,0,NA,2,1.15,4,no,NA,NA,yes,0
ZAR,0,NA,22,12.30909091,4.636363636,no,NA,NA,no,0
ZAZ,0.5,H,44,3.739534884,5.840909091,no,NA,NA,no,0
ZEB,0,NA,4,8.925,7.25,no,NA,NA,no,0
ZED,-0.5,E,48,5.35625,3.8125,no,NA,NA,no,0
ZEN,0,NA,9,6.022222222,3.777777778,no,NA,NA,no,0
ZEU,0,NA,15,12.88666667,5,no,NA,NA,no,0
ZMT,0,NA,1,13.5,2,no,NA,NA,yes,0
ZOL,0,NA,1,15.7,2,no,NA,NA,no,0
ZOR,0,NA,30,13.20666667,7.766666667,no,NA,NA,no,0
