id_individual,Sex_1_0,Haplotype,Number_sightings,Av_water_depth,Av_group_size,Sponger,Demons_sponging_forage,Sp_Order_acquisition,Mum_known,Not_weaned
CIT,0,NA,1,12,2,no,NA,NA,yes,0
CLA,0,NA,21,6.423809524,4.238095238,no,NA,NA,no,0
CLD,-0.5,NA,2,9.1,6,no,NA,NA,no,0
CLE,-0.5,NA,6,6,4,no,NA,NA,no,0
CLI,-0.5,H,9,5.633333333,2.444444444,no,NA,NA,no,0
CLL,-0.5,H,5,9.8,6.4,no,NA,NA,no,0
CLO,0,NA,5,13.2,5.6,no,NA,NA,yes,0
CLR,0,NA,0,NA,NA,no,NA,NA,no,0
CLU,0,NA,1,7.7,6,no,NA,NA,no,0
CLV,-0.5,NA,5,6.5,8.6,no,NA,NA,no,0
CLY,0,NA,5,11.06,4.6,no,NA,NA,yes,0
CNA,0,NA,9,12.54444444,6.333333333,no,NA,NA,no,0
CNC,0.5,H,38,5.044736842,5.026315789,no,NA,NA,yes,0
CNN,0,NA,0,NA,NA,no,NA,NA,no,0
CNO,-0.5,NA,1,11.3,2,no,NA,NA,no,0
CNR,0,NA,1,7.3,17,no,NA,NA,no,0
CNT,0,NA,13,14.66153846,2,yes,no,67,yes,0
CNY,-0.5,E,4,8.05,5.75,yes,yes,54,no,0
COA,0.5,H,43,6.125581395,2.953488372,no,NA,NA,yes,0
COB,0,NA,2,12.7,2.5,no,NA,NA,yes,0
COC,0.5,E,26,12.37692308,5,yes,yes,38,no,0
COI,0,NA,23,12.94347826,6.565217391,no,NA,NA,yes,0
COL,0,NA,3,13.13333333,2,no,NA,NA,yes,0
COM,0,NA,2,3.75,2,no,NA,NA,yes,0
CON,-0.5,H,2,3.05,2.5,no,NA,NA,no,0
COO,0,NA,6,7.55,6.333333333,no,NA,NA,no,0
COR,-0.5,E,19,12.45789474,3.315789474,yes,yes,13,no,0
COS,-0.5,E,15,2.646666667,6.4,no,NA,NA,no,0
COU,0,NA,1,2,7,no,NA,NA,yes,0
CPC,0,NA,1,8.3,3,no,NA,NA,no,0
CPP,0,NA,5,6.48,2.4,no,NA,NA,yes,0
CPS,0,NA,1,8.8,9,no,NA,NA,no,0
CPT,0,NA,3,13.26666667,5.666666667,no,NA,NA,no,0
CRA,-0.5,F,1,14,1,no,NA,NA,no,0
CRB,0.5,H,6,4.95,5.333333333,no,NA,NA,yes,0
CRC,0,NA,4,7.5,2,no,NA,NA,no,0
CRE,0,NA,2,13.3,2.5,no,NA,NA,yes,0
CRI,0,NA,7,6.342857143,3,no,NA,NA,no,0
CRK,0,NA,2,4.8,2.5,no,NA,NA,yes,0
CRN,0,NA,4,7.925,12,no,NA,NA,no,0
CRO,0,NA,1,4.4,3,no,NA,NA,no,0
CRP,0.5,E,13,11.7,4.615384615,no,NA,NA,no,0
